image_id,x,y
ZEGAR_Z24.jpg,555.0,381.0
ZEGAR_Z24.jpg,567.0,342.0
ZEGAR_Z24.jpg,575.0,315.0
ZEGAR_Z24.jpg,582.0,293.0
ZEGAR_Z24.jpg,587.0,275.0
ZEGAR_Z24.jpg,593.0,258.0
ZEGAR_Z24.jpg,523.0,484.0
ZEGAR_Z24.jpg,556.0,378.0
ZEGAR_Z24.jpg,568.0,339.0
ZEGAR_Z24.jpg,576.0,311.0
ZEGAR_Z24.jpg,580.0,298.0
ZEGAR_Z24.jpg,585.0,281.0
ZEGAR_Z24.jpg,594.0,255.0
ZEGAR_Z25.jpg,407.0,412.0
ZEGAR_Z25.jpg,395.0,327.0
ZEGAR_Z25.jpg,385.0,261.0
ZEGAR_Z25.jpg,378.0,217.0
ZEGAR_Z25.jpg,409.0,424.0
ZEGAR_Z25.jpg,395.0,330.0
ZEGAR_Z25.jpg,385.0,259.0
ZEGAR_Z25.jpg,379.0,219.0
ZEGAR_Z30.jpg,475.0,644.0
ZEGAR_Z30.jpg,453.0,496.0
ZEGAR_Z30.jpg,441.0,422.0
ZEGAR_Z30.jpg,435.0,380.0
ZEGAR_Z30.jpg,430.0,347.0
ZEGAR_Z30.jpg,426.0,321.0
ZEGAR_Z30.jpg,479.0,669.0
ZEGAR_Z30.jpg,454.0,503.0
ZEGAR_Z30.jpg,442.0,425.0
ZEGAR_Z30.jpg,435.0,379.0
ZEGAR_Z30.jpg,430.0,351.0
ZEGAR_Z30.jpg,427.0,327.0
ZEGAR_Z31.jpg,426.0,447.0
ZEGAR_Z31.jpg,408.0,360.0
ZEGAR_Z31.jpg,400.0,326.0
ZEGAR_Z31.jpg,391.0,281.0
ZEGAR_Z31.jpg,384.0,250.0
ZEGAR_Z31.jpg,378.0,220.0
ZEGAR_Z31.jpg,427.0,453.0
ZEGAR_Z31.jpg,409.0,366.0
ZEGAR_Z31.jpg,401.0,328.0
ZEGAR_Z31.jpg,391.0,283.0
ZEGAR_Z31.jpg,384.0,249.0
ZEGAR_Z31.jpg,378.0,220.0
ZEGAR_Z32.jpg,465.0,464.0
ZEGAR_Z32.jpg,475.0,371.0
ZEGAR_Z32.jpg,482.0,315.0
ZEGAR_Z32.jpg,487.0,267.0
ZEGAR_Z32.jpg,492.0,219.0
ZEGAR_Z32.jpg,496.0,188.0
ZEGAR_Z32.jpg,465.0,469.0
ZEGAR_Z32.jpg,475.0,372.0
ZEGAR_Z32.jpg,479.0,341.0
ZEGAR_Z32.jpg,482.0,316.0
ZEGAR_Z32.jpg,487.0,271.0
ZEGAR_Z32.jpg,496.0,185.0
ZEGAR_Z33.jpg,444.0,563.0
ZEGAR_Z33.jpg,407.0,435.0
ZEGAR_Z33.jpg,389.0,376.0
ZEGAR_Z33.jpg,381.0,347.0
ZEGAR_Z33.jpg,371.0,314.0
ZEGAR_Z33.jpg,360.0,278.0
ZEGAR_Z33.jpg,354.0,257.0
ZEGAR_Z33.jpg,440.0,548.0
ZEGAR_Z33.jpg,407.0,437.0
ZEGAR_Z33.jpg,392.0,387.0
ZEGAR_Z33.jpg,382.0,352.0
ZEGAR_Z33.jpg,370.0,311.0
ZEGAR_Z33.jpg,360.0,276.0
ZEGAR_Z33.jpg,354.0,258.0
ZEGAR_Z34.jpg,535.0,507.0
ZEGAR_Z34.jpg,520.0,427.0
ZEGAR_Z34.jpg,505.0,344.0
ZEGAR_Z34.jpg,495.0,290.0
ZEGAR_Z34.jpg,490.0,265.0
ZEGAR_Z34.jpg,484.0,231.0
ZEGAR_Z34.jpg,480.0,209.0
ZEGAR_Z34.jpg,535.0,509.0
ZEGAR_Z34.jpg,519.0,420.0
ZEGAR_Z34.jpg,505.0,347.0
ZEGAR_Z34.jpg,499.0,311.0
ZEGAR_Z34.jpg,492.0,275.0
ZEGAR_Z34.jpg,484.0,232.0
ZEGAR_Z34.jpg,481.0,215.0
ZEGAR_Z35.jpg,532.0,521.0
ZEGAR_Z35.jpg,592.0,400.0
ZEGAR_Z35.jpg,612.0,359.0
ZEGAR_Z35.jpg,635.0,312.0
ZEGAR_Z35.jpg,644.0,294.0
ZEGAR_Z35.jpg,660.0,262.0
ZEGAR_Z35.jpg,669.0,243.0
ZEGAR_Z35.jpg,534.0,517.0
ZEGAR_Z35.jpg,592.0,399.0
ZEGAR_Z35.jpg,611.0,360.0
ZEGAR_Z35.jpg,629.0,325.0
ZEGAR_Z35.jpg,641.0,301.0
ZEGAR_Z35.jpg,650.0,282.0
ZEGAR_Z35.jpg,662.0,257.0
ZEGAR_Z36.jpg,450.0,528.0
ZEGAR_Z36.jpg,409.0,417.0
ZEGAR_Z36.jpg,391.0,367.0
ZEGAR_Z36.jpg,371.0,311.0
ZEGAR_Z36.jpg,353.0,263.0
ZEGAR_Z36.jpg,347.0,246.0
ZEGAR_Z36.jpg,341.0,229.0
ZEGAR_Z36.jpg,454.0,539.0
ZEGAR_Z36.jpg,411.0,421.0
ZEGAR_Z36.jpg,391.0,366.0
ZEGAR_Z36.jpg,372.0,314.0
ZEGAR_Z36.jpg,354.0,266.0
ZEGAR_Z36.jpg,347.0,248.0
ZEGAR_Z36.jpg,340.0,227.0
ZEGAR_Z37.jpg,434.0,567.0
ZEGAR_Z37.jpg,411.0,466.0
ZEGAR_Z37.jpg,387.0,358.0
ZEGAR_Z37.jpg,374.0,299.0
ZEGAR_Z37.jpg,366.0,265.0
ZEGAR_Z37.jpg,360.0,235.0
ZEGAR_Z37.jpg,352.0,198.0
ZEGAR_Z37.jpg,346.0,172.0
ZEGAR_Z37.jpg,437.0,582.0
ZEGAR_Z37.jpg,413.0,473.0
ZEGAR_Z37.jpg,389.0,364.0
ZEGAR_Z37.jpg,375.0,305.0
ZEGAR_Z37.jpg,367.0,267.0
ZEGAR_Z37.jpg,360.0,234.0
ZEGAR_Z37.jpg,352.0,201.0
ZEGAR_Z37.jpg,348.0,180.0
ZEGAR_Z37.jpg,345.0,169.0
ZEGAR_Z40.jpg,412.0,445.0
ZEGAR_Z40.jpg,399.0,381.0
ZEGAR_Z40.jpg,391.0,344.0
ZEGAR_Z40.jpg,386.0,319.0
ZEGAR_Z40.jpg,380.0,292.0
ZEGAR_Z40.jpg,374.0,261.0
ZEGAR_Z40.jpg,367.0,227.0
ZEGAR_Z40.jpg,363.0,211.0
ZEGAR_Z40.jpg,416.0,463.0
ZEGAR_Z40.jpg,398.0,379.0
ZEGAR_Z40.jpg,391.0,343.0
ZEGAR_Z40.jpg,386.0,321.0
ZEGAR_Z40.jpg,381.0,296.0
ZEGAR_Z40.jpg,375.0,265.0
ZEGAR_Z40.jpg,367.0,230.0
ZEGAR_Z40.jpg,364.0,213.0
ZEGAR_Z41.jpg,430.0,563.0
ZEGAR_Z41.jpg,378.0,434.0
ZEGAR_Z41.jpg,347.0,358.0
ZEGAR_Z41.jpg,333.0,323.0
ZEGAR_Z41.jpg,321.0,293.0
ZEGAR_Z41.jpg,308.0,263.0
ZEGAR_Z41.jpg,299.0,239.0
ZEGAR_Z41.jpg,290.0,217.0
ZEGAR_Z41.jpg,284.0,201.0
ZEGAR_Z41.jpg,433.0,572.0
ZEGAR_Z41.jpg,379.0,438.0
ZEGAR_Z41.jpg,349.0,364.0
ZEGAR_Z41.jpg,332.0,322.0
ZEGAR_Z41.jpg,319.0,288.0
ZEGAR_Z41.jpg,308.0,261.0
ZEGAR_Z41.jpg,298.0,238.0
ZEGAR_Z41.jpg,292.0,221.0
ZEGAR_Z41.jpg,285.0,205.0
ZEGAR_Z43.jpg,387.0,510.0
ZEGAR_Z43.jpg,353.0,411.0
ZEGAR_Z43.jpg,333.0,355.0
ZEGAR_Z43.jpg,320.0,318.0
ZEGAR_Z43.jpg,312.0,293.0
ZEGAR_Z43.jpg,304.0,269.0
ZEGAR_Z43.jpg,298.0,252.0
ZEGAR_Z43.jpg,390.0,519.0
ZEGAR_Z43.jpg,354.0,415.0
ZEGAR_Z43.jpg,336.0,362.0
ZEGAR_Z43.jpg,319.0,314.0
ZEGAR_Z43.jpg,312.0,292.0
ZEGAR_Z43.jpg,304.0,271.0
ZEGAR_Z43.jpg,298.0,252.0
